,title,rating,rating_count,length,level,genre_1,genre_2,genre_3,start_year,episodes,top_ep,sec_ep,thd_ep,popularity,awards_1,awards_2,x0_,x0_TV-14,x0_TV-G,x0_TV-MA,x0_TV-PG,x0_TV-Y,x0_TV-Y7,x0_TV-Y7-FV,x1_Action,x1_Adventure,x1_Animation,x1_Biography,x1_Comedy,x1_Crime,x1_Drama,x2_Action,x2_Adventure,x2_Comedy,x2_Crime,x2_Drama,x2_Family,x2_Fantasy,x2_Horror,x2_Mystery,x2_N/A,x2_Romance,x2_Short,x2_Sport,x3_Action,x3_Adventure,x3_Comedy,x3_Crime,x3_Drama,x3_Family,x3_Fantasy,x3_Horror,x3_Music,x3_Mystery,x3_N/A,x3_Romance,x3_Sci-Fi,x3_Thriller,score,isGood,quick,short,medium,long,series,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Horror,Mystery,Romance,Short,Sport,Music,Sci-Fi,Thriller
10,Brooklyn Nine-Nine,8.4,230913,22,TV-14,Comedy,Crime,,2013,153,9.5,9.5,9.3,54,Won 2 Golden Globes.,Another 12 wins & 110 nominations.,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,88,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
11,Burn Notice,7.9,68404,44,TV-PG,Action,Crime,Drama,2007,111,9.2,9.1,9.0,379,Nominated for 4 Primetime Emmys.,Another 6 wins & 13 nominations.,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,73,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
12,Criminal Minds,8.1,163397,42,TV-14,Crime,Drama,Mystery,2005,323,9.2,9.0,9.0,15,Nominated for 3 Primetime Emmys.,Another 23 wins & 32 nominations.,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,67,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
13,Designated Survivor,7.5,78476,60,TV-14,Action,Drama,Mystery,2016,53,8.7,8.4,8.3,221,,3 wins & 3 nominations.,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,61,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
14,Everybody Hates Chris,7.4,34408,22,TV-PG,Comedy,Drama,Music,2005,88,8.4,8.3,8.2,1263,Nominated for 1 Golden Globe.,Another 7 wins & 50 nominations.,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,81,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
15,Fresh Off the Boat,7.8,22518,22,TV-PG,Comedy,,,2015,116,8.2,8.1,8.1,662,,6 wins & 27 nominations.,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,81,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,Friends,8.9,836860,22,TV-PG,Comedy,Romance,,1994,235,9.7,9.7,9.5,48,Won 1 Golden Globe.,Another 76 wins & 220 nominations.,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,86,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
17,Futurama,8.4,214017,22,TV-14,Animation,Comedy,Sci-Fi,1999,140,9.6,9.5,9.4,319,Won 6 Primetime Emmys.,Another 24 wins & 57 nominations.,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
18,Game of Thrones,9.3,1786490,57,TV-MA,Action,Adventure,Drama,2011,73,9.9,9.9,9.9,9,Won 1 Golden Globe.,Another 376 wins & 613 nominations.,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,94,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,Good Luck Charlie,7.0,18916,22,TV-G,Comedy,Drama,Family,2010,98,8.4,8.4,8.3,1376,Nominated for 3 Primetime Emmys.,Another 4 wins & 20 nominations.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,82,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
